drugName,rating,condition,class
Norethindrone,8.855813953488372,Birth Control,B
Tri-Sprintec,8.850427350427351,Birth Control,B
Generess Fe,8.8375,Birth Control,B
Kariva,8.81081081081081,Birth Control,B
Drospirenone / ethinyl estradiol / levomefolate calcium,8.8,Birth Control,B
Zovia,8.8,Birth Control,B
Ethinyl estradiol / norgestimate,8.792730085073472,Birth Control,B
Ethinyl estradiol / norgestrel,8.791666666666666,Birth Control,B
Desogestrel / ethinyl estradiol,8.789644012944985,Birth Control,B
Falmina,8.785714285714286,Birth Control,B
Alesse,8.781818181818181,Birth Control,B
Femcon Fe,8.777777777777779,Birth Control,B
Loestrin 24 Fe,8.76271186440678,Birth Control,B
Lo / Ovral-28,8.75,Birth Control,B
Mestranol / norethindrone,8.75,Birth Control,B
Necon 1 / 35,8.75,Birth Control,B
Sprintec,8.746355685131196,Birth Control,B
Liletta,8.734848484848484,Birth Control,B
Junel Fe 1 / 20,8.72972972972973,Birth Control,B
Gildess Fe 1 / 20,8.727272727272727,Birth Control,B
Xulane,8.723214285714286,Birth Control,B
Ortho Tri-Cyclen Lo,8.677631578947368,Birth Control,B
Cyred,8.666666666666666,Birth Control,B
Loestrin Fe 1 / 20,8.666666666666666,Birth Control,B
Marlissa,8.666666666666666,Birth Control,B
Ortho-Cept,8.666666666666666,Birth Control,B
Tri-Estarylla,8.666666666666666,Birth Control,B
Nora-Be,8.65625,Birth Control,B
Reclipsen,8.65079365079365,Birth Control,B
Camrese,8.647058823529411,Birth Control,B
Blisovi 24 Fe,8.619047619047619,Birth Control,B
Cyclafem 1 / 35,8.6,Birth Control,B
Sharobel,8.6,Birth Control,B
Safyral,8.583333333333334,Birth Control,B
Velivet,8.583333333333334,Birth Control,B
Amethia,8.571428571428571,Birth Control,B
Estarylla,8.566666666666666,Birth Control,B
Camila,8.545454545454545,Birth Control,B
Viorele,8.538461538461538,Birth Control,B
Amethia Lo,8.5,Birth Control,B
Caziant,8.5,Birth Control,B
Errin,8.5,Birth Control,B
Junel Fe 24,8.5,Birth Control,B
Lessina,8.5,Birth Control,B
Lo / Ovral,8.5,Birth Control,B
Nikki,8.5,Birth Control,B
Vestura,8.5,Birth Control,B
Azurette,8.454545454545455,Birth Control,B
Quasense,8.38888888888889,Birth Control,B
Tarina Fe 1 / 20,8.285714285714286,Birth Control,B
Altavera,8.0,Birth Control,C
Blisovi Fe 1.5 / 30,8.0,Birth Control,C
Ethinyl estradiol / folic acid / levonorgestrel,8.0,Birth Control,C
Introvale,8.0,Birth Control,C
Jencycla,8.0,Birth Control,C
Larin Fe 1 / 20,8.0,Birth Control,C
Loestrin Fe 1.5 / 30,8.0,Birth Control,C
Mibelas 24 Fe,8.0,Birth Control,C
Microgestin 1.5 / 30,8.0,Birth Control,C
Ogestrel-28,8.0,Birth Control,C
Rajani,7.5,Birth Control,C
Fosfomycin,10.0,Bladder Infection,A
Furadantin,10.0,Bladder Infection,A
Monurol,10.0,Bladder Infection,A
Norfloxacin,10.0,Bladder Infection,A
Noroxin,10.0,Bladder Infection,A
Methenamine,9.454545454545455,Bladder Infection,A
Cefpodoxime,9.25,Bladder Infection,A
Vantin,9.25,Bladder Infection,A
Ciprofloxacin,9.036866359447005,Bladder Infection,A
Cyklokapron,9.5,Bleeding Disorde,A
Iohexol,7.0,Body Imaging,C
Omnipaque 350,7.0,Body Imaging,C
Vancocin HCl,10.0,Bone infection,A
Nafcillin,9.0,Bone infection,B
Cleocin HCl,8.333333333333334,Bone infection,B
Unasyn,8.0,Bone infection,C
OsmoPrep,9.666666666666666,Bowel Preparation,A
Sodium biphosphate / sodium phosphate,9.607142857142858,Bowel Preparation,A
GaviLyte-C,9.5,Bowel Preparation,A
Prepopik,9.426229508196721,Bowel Preparation,A
Citric acid / magnesium oxide / sodium picosulfate,9.40983606557377,Bowel Preparation,A
GaviLyte-G,9.272727272727273,Bowel Preparation,A
MoviPrep,9.087301587301587,Bowel Preparation,A
Polyethylene glycol 3350 with electrolytes,9.081521739130435,Bowel Preparation,A
Dulcolax,9.027149321266968,Bowel Preparation,A
Suprep Bowel Prep Kit,9.023636363636363,Bowel Preparation,A
Magnesium sulfate / potassium sulfate / sodium sulfate,9.01788908765653,Bowel Preparation,A
Bisacodyl,9.003105590062113,Bowel Preparation,A
Bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,9.0,Bowel Preparation,B
HalfLytely and Bisacodyl,9.0,Bowel Preparation,B
GoLYTELY,8.833333333333334,Bowel Preparation,B
Correctol,8.636363636363637,Bowel Preparation,B
PEG3350,8.5,Bowel Preparation,B
NuLYTELY,8.0,Bowel Preparation,C
Colyte,7.0,Bowel Preparation,C
Cisplatin,10.0,Brain Tum,A
Platinol,10.0,Brain Tum,A
Lazanda,10.0,Breakthrough Pain,A
Fentora,9.333333333333334,Breakthrough Pain,A
Actiq,9.181818181818182,Breakthrough Pain,A
Herceptin,9.75,Breast Cance,A
Trastuzumab,9.75,Breast Cance,A
Abraxane,9.666666666666666,Breast Cance,A
Doxorubicin,9.666666666666666,Breast Cance,A
Paclitaxel protein-bound,9.5,Breast Cance,A
Arimidex,9.0,Breast Cance,B
Femara,8.923076923076923,Breast Cance,B
Anastrozole,8.86111111111111,Breast Cance,B
Letrozole,8.83673469387755,Breast Cance,B
Exemestane,8.416666666666666,Breast Cance,B
Tamoxifen,8.4,Breast Cance,B
Aromasin,8.333333333333334,Breast Cance,B
Nolvadex,7.0,Breast Cance,C
Lapatinib,10.0,Breast Cancer Metastatic,A
Tykerb,10.0,Breast Cancer Metastatic,A
Eribulin,9.5,Breast Cancer Metastatic,A
Xeloda,9.5,Breast Cancer Metastatic,A
Halaven,9.428571428571429,Breast Cancer Metastatic,A
Capecitabine,9.4,Breast Cancer Metastatic,A
Ibrance,9.153846153846153,Breast Cancer Metastatic,A
Palbociclib,9.153846153846153,Breast Cancer Metastatic,A
Docetaxel,9.0,Breast Cancer Metastatic,B
Taxotere,9.0,Breast Cancer Metastatic,B
Faslodex,8.666666666666666,Breast Cancer Metastatic,B
Fulvestrant,8.666666666666666,Breast Cancer Metastatic,B
Evista,10.0,Breast Cancer Prevention,A
Raloxifene,9.0,Breast Cancer Prevention,B
Gemifloxacin,9.5,Bronchitis,A
Biaxin XL,9.428571428571429,Bronchitis,A
Zithromax,9.22972972972973,Bronchitis,A
Mucinex,9.090909090909092,Bronchitis,A
Cefditoren,9.0,Bronchitis,B
Spectracef,9.0,Bronchitis,B
Azithromycin,8.930184804928132,Bronchitis,B
Erythromycin,8.88888888888889,Bronchitis,B
Ery-Tab,7.0,Bronchitis,C
Silvadene,10.0,Burns External,A
Solarcaine First Aid Medicated Spray,10.0,Burns External,A
Xylocaine Jelly,10.0,Burns External,A
Silver sulfadiazine,9.976744186046512,Burns External,A
Valcyte,8.0,CMV Prophylaxis,C
Valganciclovir,8.0,CMV Prophylaxis,C
Incruse Ellipta,10.0,COPD,A
Striverdi Respimat,10.0,COPD,A
Olodaterol / tiotropium,9.625,COPD,A
Stiolto Respimat,9.625,COPD,A
Umeclidinium / vilanterol,9.588235294117647,COPD,A
Anoro Ellipta,9.5625,COPD,A
Rayos,9.5,COPD,A
Umeclidinium,9.5,COPD,A
Breo Ellipta,9.435897435897436,COPD,A
Fluticasone / vilanterol,9.435897435897436,COPD,A
Roflumilast,9.423076923076923,COPD,A
Symbicort,9.414285714285715,COPD,A
Daliresp,9.375,COPD,A
Aclidinium,9.2,COPD,A
Tudorza Pressair,9.2,COPD,A
Alupent,9.5,COPD Acute,A
Ventolin,9.25,COPD Acute,A
Foradil Aerolizer,9.8,COPD Maintenance,A
Brovana,9.5,COPD Maintenance,A
DuoNeb,9.5,COPD Maintenance,A
Xopenex,9.454545454545455,COPD Maintenance,A
Levalbuterol,9.38888888888889,COPD Maintenance,A
Proventil HFA,9.25,COPD Maintenance,A
Spiriva,9.235294117647058,COPD Maintenance,A
Tiotropium,9.15,COPD Maintenance,A
Fluticasone / salmeterol,9.126984126984127,COPD Maintenance,A
Advair Diskus,9.11111111111111,COPD Maintenance,A
Albuterol / ipratropium,9.058823529411764,COPD Maintenance,A
Combivent,9.0,COPD Maintenance,B
Combivent Respimat,9.0,COPD Maintenance,B
Spiriva Respimat,9.0,COPD Maintenance,B
Ventolin HFA,9.0,COPD Maintenance,B
Albuterol,8.926829268292684,COPD Maintenance,B
ProAir HFA,8.571428571428571,COPD Maintenance,B
Perforomist,8.0,COPD Maintenance,C
Salmeterol,8.0,COPD Maintenance,C
Atrovent HFA,7.0,COPD Maintenance,C
Floxin,10.0,Campylobacter Gastroenteritis,A
Vincasar PFS,10.0,Cance,A
Vincristine,10.0,Cance,A
Chaparral,9.666666666666666,Cance,A
Adriamycin,9.5,Cance,A
Sandostatin,9.2,Carcinoid Tum,A
Octreotide,9.166666666666666,Carcinoid Tum,A
AbobotulinumtoxinA,8.666666666666666,Cervical Dystonia,B
Armodafinil,8.843243243243244,Chronic Fatigue Syndrome,B
Nuvigil,8.789473684210526,Chronic Fatigue Syndrome,B
Plecanatide,9.586206896551724,Chronic Idiopathic Constipation,A
Trulance,9.586206896551724,Chronic Idiopathic Constipation,A
Immune globulin intravenous and subcutaneous,8.0,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,C
Gammagard,7.0,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,C
Imbruvica,9.6,Chronic Lymphocytic Leukemia,A
Ibrutinib,9.222222222222221,Chronic Lymphocytic Leukemia,A
Chlorambucil,8.666666666666666,Chronic Lymphocytic Leukemia,B
Leukeran,8.666666666666666,Chronic Lymphocytic Leukemia,B
Bosulif,10.0,Chronic Myelogenous Leukemia,A
Bosutinib,10.0,Chronic Myelogenous Leukemia,A
Tasigna,9.8,Chronic Myelogenous Leukemia,A
Hydrea,9.5,Chronic Myelogenous Leukemia,A
Nilotinib,9.4375,Chronic Myelogenous Leukemia,A
Imatinib,9.428571428571429,Chronic Myelogenous Leukemia,A
Dasatinib,8.933333333333334,Chronic Myelogenous Leukemia,B
Sprycel,8.916666666666666,Chronic Myelogenous Leukemia,B
Dazidox,10.0,Chronic Pain,A
Methadone Diskets,9.48,Chronic Pain,A
Subsys,9.444444444444445,Chronic Pain,A
Roxicodone,9.363636363636363,Chronic Pain,A
Infumorph,9.0,Chronic Pain,B
Primlev,9.0,Chronic Pain,B
Endocet,8.96774193548387,Chronic Pain,B
Tylox,8.923076923076923,Chronic Pain,B
Exalgo,8.869565217391305,Chronic Pain,B
Xtampza ER,8.571428571428571,Chronic Pain,B
Fentanyl Transdermal System,8.482142857142858,Chronic Pain,B
Belbuca,8.357142857142858,Chronic Pain,B
Xartemis XR,8.333333333333334,Chronic Pain,B
Oxaydo,8.0,Chronic Pain,C
Prialt,7.0,Chronic Pain,C
Ziconotide,7.0,Chronic Pain,C
Creon,9.666666666666666,Chronic Pancreatitis,A
Zenpep,9.666666666666666,Chronic Pancreatitis,A
Pancrelipase,9.588235294117647,Chronic Pancreatitis,A
Hi-Vegi-Lip,9.0,Chronic Pancreatitis,B
Pancreatin,9.0,Chronic Pancreatitis,B
Pancreaze,9.0,Chronic Pancreatitis,B
Dantrolene,10.0,Chronic Spasticity,A
Gablofen,8.5,Chronic Spasticity,B
Fidaxomicin,9.5,Clostridial Infection,A
Dificid,9.333333333333334,Clostridial Infection,A
Isoptin SR,10.0,Cluster Headaches,A
Sterapred DS,10.0,Cluster Headaches,A
Imitrex Statdose,9.533333333333333,Cluster Headaches,A
Imitrex Nasal,9.5,Cluster Headaches,A
Imitrex,9.296296296296296,Cluster Headaches,A
Acyclovir / hydrocortisone,10.0,Cold Sores,A
Retre-Gel,10.0,Cold Sores,A
Tetracaine,10.0,Cold Sores,A
Penciclovir,9.8125,Cold Sores,A
Denavir,9.793103448275861,Cold Sores,A
Zovirax Cream,9.545454545454545,Cold Sores,A
Famvir,9.363636363636363,Cold Sores,A
Famciclovir,9.333333333333334,Cold Sores,A
Benzocaine,9.0,Cold Sores,B
Sitavig,8.571428571428571,Cold Sores,B
Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,10.0,Cold Symptoms,A
Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,10.0,Cold Symptoms,A
Codimal DM,10.0,Cold Symptoms,A
Dextromethorphan / phenylephrine / pyrilamine,10.0,Cold Symptoms,A
Ed A-Hist,10.0,Cold Symptoms,A
Robitussin Cold Cough and Flu,10.0,Cold Symptoms,A
Tylenol Allergy Multi-Symptom Nighttime,10.0,Cold Symptoms,A
Rynatan,9.8,Cold Symptoms,A
Bronkaid,9.75,Cold Symptoms,A
Alka-Seltzer Plus Cold,9.666666666666666,Cold Symptoms,A
Echinacea,9.666666666666666,Cold Symptoms,A
Acetaminophen / chlorpheniramine / phenylephrine,9.5,Cold Symptoms,A
Acetaminophen / diphenhydramine / phenylephrine,9.5,Cold Symptoms,A
Ephedrine / guaifenesin,9.375,Cold Symptoms,A
Acetaminophen / chlorpheniramine,9.0,Cold Symptoms,B
Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,9.0,Cold Symptoms,B
Coricidin HBP Cold & Flu,9.0,Cold Symptoms,B
Primatene,9.0,Cold Symptoms,B
Sudafed PE Severe Cold,9.0,Cold Symptoms,B
Vicks Nyquil D Cold and Flu Nighttime Relief,9.0,Cold Symptoms,B
Acetaminophen / dextromethorphan / pseudoephedrine,8.0,Cold Symptoms,C
Regorafenib,10.0,Colorectal Cance,A
Stivarga,10.0,Colorectal Cance,A
Oxaliplatin,8.0,Colorectal Cance,C
Panitumumab,8.0,Colorectal Cance,C
Vectibix,8.0,Colorectal Cance,C
Cetuximab,7.8,Colorectal Cance,C
Erbitux,7.8,Colorectal Cance,C
Barium sulfate,9.0,Computed Tomography,B
Readi-Cat,8.0,Computed Tomography,C
Condylox,9.25,Condylomata Acuminata,A
Podofilox,8.8125,Condylomata Acuminata,B
Alrex,9.5,Conjunctivitis,A
Zymar,9.25,Conjunctivitis,A
Gatifloxacin,9.2,Conjunctivitis,A
Alamast,10.0,Conjunctivitis Allergic,A
Alocril,10.0,Conjunctivitis Allergic,A
Nedocromil,10.0,Conjunctivitis Allergic,A
Optivar,10.0,Conjunctivitis Allergic,A
Pemirolast,10.0,Conjunctivitis Allergic,A
Bepotastine,9.8,Conjunctivitis Allergic,A
Bepreve,9.777777777777779,Conjunctivitis Allergic,A
Zaditor,9.666666666666666,Conjunctivitis Allergic,A
Ketotifen,9.571428571428571,Conjunctivitis Allergic,A
Alcaftadine,9.3,Conjunctivitis Allergic,A
Lastacaft,9.3,Conjunctivitis Allergic,A
Elestat,9.0,Conjunctivitis Allergic,B
Epinastine,9.0,Conjunctivitis Allergic,B
Sterapred,9.0,Conjunctivitis Allergic,B
Besifloxacin,10.0,Conjunctivitis Bacterial,A
Besivance,10.0,Conjunctivitis Bacterial,A
Blephamide,10.0,Conjunctivitis Bacterial,A
Maxitrol,10.0,Conjunctivitis Bacterial,A
Moxeza,10.0,Conjunctivitis Bacterial,A
Prednisolone / sulfacetamide sodium,10.0,Conjunctivitis Bacterial,A
Tobrex,10.0,Conjunctivitis Bacterial,A
Dexamethasone / neomycin / polymyxin b,9.75,Conjunctivitis Bacterial,A
Neo-Poly-Dex,9.5,Conjunctivitis Bacterial,A
Tobramycin,9.4,Conjunctivitis Bacterial,A
Vigamox,9.25,Conjunctivitis Bacterial,A
Polytrim,9.0,Conjunctivitis Bacterial,B
Dexamethasone / tobramycin,8.6,Conjunctivitis Bacterial,B
TobraDex,8.6,Conjunctivitis Bacterial,B
Loteprednol / tobramycin,8.4,Conjunctivitis Bacterial,B
Zylet,8.4,Conjunctivitis Bacterial,B
Polymyxin b / trimethoprim,8.333333333333334,Conjunctivitis Bacterial,B
Azasite,8.0,Conjunctivitis Bacterial,C
Citrate of Magnesia,10.0,Constipation,A
Doxidan Tablet,10.0,Constipation,A
Feen-A-Mint,10.0,Constipation,A
Fleet Bisacodyl,10.0,Constipation,A
Fleet Glycerin Suppositories Adult,10.0,Constipation,A
Fleet Phospho Soda,10.0,Constipation,A
Fletchers Castoria,10.0,Constipation,A
Metamucil,9.8,Constipation,A
ClearLax,9.6,Constipation,A
Fleet Enema,9.6,Constipation,A
Magnesium oxide,9.6,Constipation,A
MiraLax,9.552941176470588,Constipation,A
Colace,9.5,Constipation,A
Methylcellulose,9.5,Constipation,A
Polyethylene glycol 3350,9.5,Constipation,A
Magnesium citrate,9.494505494505495,Constipation,A
Magnesium hydroxide,9.383838383838384,Constipation,A
Phillips Milk of Magnesia,9.380952380952381,Constipation,A
Glycerin,9.333333333333334,Constipation,A
Dulcolax Laxative,9.285714285714286,Constipation,A
Phillips' Milk of Magnesia,9.285714285714286,Constipation,A
Milk of Magnesia,9.23076923076923,Constipation,A
Enemeez Mini,9.0,Constipation,B
FiberCon,9.0,Constipation,B
Polycarbophil,9.0,Constipation,B
Sorbitol,9.0,Constipation,B
Senna,8.88888888888889,Constipation,B
Senokot,8.818181818181818,Constipation,B
Docusate,8.714285714285714,Constipation,B
Peri-Colace,10.0,Constipation Acute,A
Senokot S,9.666666666666666,Constipation Acute,A
Docusate / senna,9.444444444444445,Constipation Acute,A
Lactulose,9.277777777777779,Constipation Acute,A
Senna Plus,9.0,Constipation Acute,B
Doc-Q-Lax,8.0,Constipation Acute,C
Constulose,10.0,Constipation Chronic,A
GaviLyte-N,10.0,Constipation Chronic,A
Linaclotide,9.257042253521126,Constipation Chronic,A
Linzess,9.22962962962963,Constipation Chronic,A
Amitiza,9.030927835051546,Constipation Chronic,A
Naloxegol,9.16,Constipation Drug Induced,A
Methylnaltrexone,9.142857142857142,Constipation Drug Induced,A
Relistor,9.142857142857142,Constipation Drug Induced,A
Movantik,9.12,Constipation Drug Induced,A
Lubiprostone,9.051020408163266,Constipation Drug Induced,A
Acular LS,9.0,Corneal Refractive Surgery,B
Ofloxacin,9.75,Corneal Ulce,A
Flanax Pain Reliever,10.0,Costochondritis,A
Buckleys Mixture,10.0,Cough,A
Robitussin CoughGels Long-Acting,10.0,Cough,A
Tussigon,10.0,Cough,A
TussiCaps,9.8,Cough,A
Chlorpheniramine / hydrocodone,9.662921348314606,Cough,A
Tussionex Pennkinetic,9.63888888888889,Cough,A
Tessalon Perles,9.588235294117647,Cough,A
Codeine / promethazine,9.5,Cough,A
Robitussin Cough + Chest Congestion DM,9.5,Cough,A
Hydromet,9.421052631578947,Cough,A
Tessalon,9.333333333333334,Cough,A
Dextromethorphan / promethazine,9.25,Cough,A
Promethazine DM,9.25,Cough,A
Benzonatate,9.210526315789474,Cough,A
Delsym 12 Hour Cough Relief,9.2,Cough,A
Homatropine / hydrocodone,9.2,Cough,A
Hycodan,9.08,Cough,A
Mucinex Maximum Strength,9.0,Cough,B
Codeine / guaifenesin,8.961538461538462,Cough,B
Cheratussin AC,8.818181818181818,Cough,B
Tylenol with Codeine #3,8.78048780487805,Cough,B
Dextromethorphan / guaifenesin,8.666666666666666,Cough,B
Guaifenesin / hydrocodone,8.666666666666666,Cough,B
Dextromethorphan,8.651162790697674,Cough,B
Delsym,8.571428571428571,Cough,B
Mucinex DM,8.333333333333334,Cough,B
Iophen-C NR,8.0,Cough,C
Brompheniramine / codeine / phenylephrine,10.0,Cough and Nasal Congestion,A
Capmist DM,10.0,Cough and Nasal Congestion,A
Chlorpheniramine / hydrocodone / pseudoephedrine,10.0,Cough and Nasal Congestion,A
Coricidin HBP Cough & Cold,10.0,Cough and Nasal Congestion,A
Dextromethorphan / guaifenesin / phenylephrine,10.0,Cough and Nasal Congestion,A
M-End PE,10.0,Cough and Nasal Congestion,A
Maxichlor PSE DM,10.0,Cough and Nasal Congestion,A
Mucinex Fast-Max Severe Congestion & Cough,10.0,Cough and Nasal Congestion,A
Zutripro,10.0,Cough and Nasal Congestion,A
Chlorpheniramine / dextromethorphan / phenylephrine,9.8,Cough and Nasal Congestion,A
Chlorpheniramine / dextromethorphan / pseudoephedrine,9.8,Cough and Nasal Congestion,A
Chlorpheniramine / hydrocodone / phenylephrine,9.75,Cough and Nasal Congestion,A
Brompheniramine / dextromethorphan / pseudoephedrine,9.5,Cough and Nasal Congestion,A
Chlorpheniramine / dextromethorphan,9.5,Cough and Nasal Congestion,A
Sildec-PE DM,9.5,Cough and Nasal Congestion,A
Dextromethorphan / guaifenesin / pseudoephedrine,9.333333333333334,Cough and Nasal Congestion,A
Mucinex D Maximum Strength,9.285714285714286,Cough and Nasal Congestion,A
Bromfed DM,9.25,Cough and Nasal Congestion,A
Chlophedianol / guaifenesin / pseudoephedrine,9.0,Cough and Nasal Congestion,B
Vanatab DX,9.0,Cough and Nasal Congestion,B
Guaifenesin / pseudoephedrine,8.723214285714286,Cough and Nasal Congestion,B
Mucinex D,8.68041237113402,Cough and Nasal Congestion,B
Hydrocodone / pseudoephedrine,8.5,Cough and Nasal Congestion,B
Rezira,8.5,Cough and Nasal Congestion,B
Maxifed DM,8.0,Cough and Nasal Congestion,C
Q-Tapp DM,8.0,Cough and Nasal Congestion,C
Questran Light,10.0,Crohn's Disease,A
Azasan,10.0,Crohns Disease,A
Questran,9.333333333333334,Crohns Disease,A
Vedolizumab,8.8,Crohns Disease,B
HyoMax SR,8.0,Crohns Disease,C
Prevalite,8.0,Crohns Disease,C
Budesonide,9.1875,Crohns Disease Acute,A
Entocort EC,9.125,Crohns Disease Acute,A
Mercaptopurine,10.0,Crohns Disease Maintenance,A
Asacol HD,9.571428571428571,Crohns Disease Maintenance,A
Pentasa,8.829268292682928,Crohns Disease Maintenance,B
Mycolog II,10.0,Cutaneous Candidiasis,A
Nyamyc,10.0,Cutaneous Candidiasis,A
Nystop,10.0,Cutaneous Candidiasis,A
Nystatin / triamcinolone,9.875,Cutaneous Candidiasis,A
Bexarotene,9.5,Cutaneous T-cell Lymphoma,A
Targretin,9.5,Cutaneous T-cell Lymphoma,A
Dornase alfa,10.0,Cystic Fibrosis,A
Ivacaftor,10.0,Cystic Fibrosis,A
Kalydeco,10.0,Cystic Fibrosis,A
Pulmozyme,10.0,Cystic Fibrosis,A
Nizoral A-D,10.0,Dandruff,A
Sebulex,10.0,Dandruff,A
Zosyn,8.0,Deep Neck Infection,C
Innohep,10.0,Deep Vein Thrombosis,A
Enoxaparin,9.090909090909092,Deep Vein Thrombosis,A
Lovenox,9.0,Deep Vein Thrombosis,B
Tinzaparin,8.5,Deep Vein Thrombosis,B
Arixtra,9.0,Deep Vein Thrombosis Prophylaxis,B
Metronidazole,8.788124156545209,Dental Abscess,B
Flagyl,8.704347826086957,Dental Abscess,B
Asendin,10.0,Depression,A
Forfivo XL,10.0,Depression,A
Remeron SolTab,9.8,Depression,A
Norpramin,9.75,Depression,A
Nefazodone,9.678571428571429,Depression,A
Amitriptyline / chlordiazepoxide,9.625,Depression,A
Parnate,9.55,Depression,A
Serzone,9.545454545454545,Depression,A
Amoxapine,9.5,Depression,A
Limbitrol,9.5,Depression,A
Oleptro,9.5,Depression,A
Tranylcypromine,9.477272727272727,Depression,A
Desipramine,9.31578947368421,Depression,A
St. johns wort,9.31578947368421,Depression,A
L-methylfolate,9.272727272727273,Depression,A
Methylin ER,9.25,Depression,A
Nardil,9.24,Depression,A
Niacin,9.2,Depression,A
Deplin,9.1875,Depression,A
Provigil,9.17,Depression,A
Phenelzine,9.115384615384615,Depression,A
Lexapro,9.11038961038961,Depression,A
Escitalopram,9.087295401402962,Depression,A
Wellbutrin XL,9.076502732240437,Depression,A
Bupropion,9.047368421052632,Depression,A
Viibryd,9.01423487544484,Depression,A
Isocarboxazid,9.0,Depression,B
Marplan,9.0,Depression,B
Protriptyline,9.0,Depression,B
Seroquel XR,9.0,Depression,B
Sinequan,9.0,Depression,B
Trimipramine,9.0,Depression,B
Vivactil,9.0,Depression,B
Wellbutrin,9.0,Depression,B
Vilazodone,8.990099009900991,Depression,B
Paxil,8.99,Depression,B
Aripiprazole,8.989690721649485,Depression,B
Sertraline,8.981818181818182,Depression,B
Abilify,8.973214285714286,Depression,B
Selegiline,8.96551724137931,Depression,B
Methylphenidate,8.963503649635037,Depression,B
Zoloft,8.959582790091265,Depression,B
Mirtazapine,8.954166666666667,Depression,B
Cymbalta,8.936690647482015,Depression,B
Duloxetine,8.932379713914175,Depression,B
Wellbutrin SR,8.920634920634921,Depression,B
Remeron,8.910714285714286,Depression,B
Desvenlafaxine,8.893854748603353,Depression,B
Pristiq,8.890243902439025,Depression,B
Trintellix,8.833333333333334,Depression,B
Fetzima,8.826086956521738,Depression,B
Olanzapine,8.81651376146789,Depression,B
Vortioxetine,8.806629834254144,Depression,B
Effexor,8.804232804232804,Depression,B
Emsam,8.8,Depression,B
Imipramine,8.75,Depression,B
St. john's wort,8.75,Depression,B
Fluoxetine / olanzapine,8.74468085106383,Depression,B
Symbyax,8.738095238095237,Depression,B
Zyprexa,8.725806451612904,Depression,B
Budeprion SR,8.666666666666666,Depression,B
Ala-Quin,10.0,Dermatitis,A
Amcinonide,10.0,Dermatitis,A
Aristocort A,10.0,Dermatitis,A
Clioquinol / hydrocortisone,10.0,Dermatitis,A
Hylira,10.0,Dermatitis,A
Orapred,10.0,Dermatitis,A
RadiaPlexRx,9.0,Dermatitis,B
Alcortin A,8.5,Dermatitis,B
Aloe vera / hydrocortisone / iodoquinol,8.5,Dermatitis,B
Synalar Ointment,7.0,Dermatitis,C
Balsam peru / castor oil / trypsin,10.0,Dermatologic Lesion,A
Granulex,10.0,Dermatologic Lesion,A
Xenaderm,10.0,Dermatologic Lesion,A
Bensal HP,10.0,Dermatological Disorders,A
Benzoic acid / salicylic acid,10.0,Dermatological Disorders,A
Diprosone,10.0,Dermatological Disorders,A
Rea Lo 40,10.0,Dermatological Disorders,A
Salicylic acid,9.75,Dermatological Disorders,A
Urea,9.6,Dermatological Disorders,A
Carmol 20,9.5,Dermatological Disorders,A
Luxiq,9.5,Dermatological Disorders,A
Betamethasone,9.347826086956522,Dermatological Disorders,A
Silver,9.333333333333334,Dermatological Disorders,A
Duoplant,9.0,Dermatological Disorders,B
Hydroquinone,9.0,Dermatological Disorders,B
Celestone,8.0,Dermatological Disorders,C
Gris-PEG,10.0,Dermatophytosis,A
Grifulvin V,8.0,Dermatophytosis,C
DDAVP Rhinal Tube,10.0,Diabetes Insipidus,A
DDAVP,9.571428571428571,Diabetes Insipidus,A
DDAVP Nasal,9.0,Diabetes Insipidus,B
Humalog KwikPen,10.0,Diabetes Type 1,A
Humulin N,10.0,Diabetes Type 1,A
SymlinPen 60,10.0,Diabetes Type 1,A
Insulin inhalation rapid acting,9.767441860465116,Diabetes Type 1,A
Pramlintide,9.75,Diabetes Type 1,A
Afrezza,9.743589743589743,Diabetes Type 1,A
Insulin isophane,9.666666666666666,Diabetes Type 1,A
Humalog Mix 75 / 25,9.5,Diabetes Type 1,A
Insulin isophane / insulin regular,9.5,Diabetes Type 1,A
Insulin lispro / insulin lispro protamine,9.5,Diabetes Type 1,A
Lantus,9.1875,Diabetes Type 1,A
Insulin glargine,9.085714285714285,Diabetes Type 1,A
ReliOn / Novolin 70 / 30,9.0,Diabetes Type 1,B
Sandostatin LAR Depot,9.0,Diabetes Type 1,B
Insulin aspart,8.625,Diabetes Type 1,B
Albiglutide,10.0,Diabetes Type 2,A
Apidra,10.0,Diabetes Type 2,A
Basaglar,10.0,Diabetes Type 2,A
Exubera,10.0,Diabetes Type 2,A
Glimepiride / pioglitazone,10.0,Diabetes Type 2,A
Glimepiride / rosiglitazone,10.0,Diabetes Type 2,A
GlipiZIDE XL,10.0,Diabetes Type 2,A
Glumetza,10.0,Diabetes Type 2,A
Glyset,10.0,Diabetes Type 2,A
Insulin aspart / insulin aspart protamine,10.0,Diabetes Type 2,A
Miglitol,10.0,Diabetes Type 2,A
